object_count,avg_duration_ms,avg_cpu_pct,avg_free_memory_mb
10,3.619,69.100,161.584
50,3.219,86.900,164.734
100,2.117,95.220,168.853
250,2.442,137.000,160.414
500,1.816,159.170,167.586
1000,2.097,168.710,147.927
