object_count,avg_duration_ms,avg_cpu_pct,avg_free_memory_mb
10,2.354,68.000,154.584
50,2.186,100.800,154.969
100,1.874,90.480,157.950
250,3.015,158.800,164.066
500,2.297,162.300,156.763
1000,1.432,178.790,139.959
